YEAR,DATE,PRICE
2014,2014-05-03,125
2014,2014-05-04,114
2014,2014-05-05,120
2014,2014-05-06,118
2014,2014-05-07,120
2014,2014-05-08,116
2014,2014-05-09,119
2014,2014-05-10,119
2014,2014-05-11,116
2014,2014-05-12,118
2014,2014-05-13,116
2014,2014-05-14,115
2014,2014-05-15,120
2014,2014-05-16,113
2014,2014-05-17,120
2014,2014-05-18,112
2014,2014-05-19,123
2014,2014-05-20,116
2014,2014-05-21,124
2014,2014-05-22,121
2014,2014-05-23,126
2014,2014-05-24,126
2014,2014-05-25,120
2014,2014-05-26,110
2014,2014-05-27,112
2014,2014-05-28,114
2014,2014-05-29,111
2014,2014-05-30,117
2014,2014-05-31,114
2014,2014-06-01,117
2014,2014-06-02,115
2014,2014-06-03,111
2014,2014-06-04,117
2014,2014-06-05,113
2014,2014-06-06,117
2014,2014-06-07,118
2014,2014-06-08,112
2014,2014-06-09,116
2014,2014-06-10,119
2014,2014-06-11,116
2014,2014-06-12,116
2014,2014-06-13,116
2014,2014-06-14,114
2014,2014-06-15,111
2014,2014-06-16,114
2014,2014-06-17,120
2014,2014-06-18,119
2014,2014-06-19,115
2014,2014-06-20,113
2014,2014-06-21,112
2014,2014-06-22,111
2014,2014-06-23,121
2014,2014-06-24,113
2014,2014-06-25,116
2014,2014-06-26,120
2014,2014-06-27,118
2014,2014-06-28,117
2014,2014-06-29,114
2014,2014-06-30,109
2014,2014-07-01,118
2014,2014-07-02,107
2014,2014-07-03,112
2014,2014-07-04,113
2014,2014-07-05,117
2014,2014-07-06,116
2014,2014-07-07,114
2014,2014-07-08,113
2014,2014-07-09,118
2014,2014-07-10,115
2014,2014-07-11,114
2014,2014-07-12,113
2014,2014-07-13,109
2014,2014-07-14,115
2014,2014-07-15,118
2014,2014-07-16,116
2014,2014-07-17,115
2014,2014-07-18,112
2014,2014-07-19,112
2014,2014-07-20,112
2014,2014-07-21,109
2014,2014-07-22,112
2014,2014-07-23,120
2014,2014-07-24,117
2014,2014-07-25,108
2014,2014-07-26,112
2014,2014-07-27,113
2014,2014-07-28,119
2014,2014-07-29,127
2014,2014-07-30,115
2014,2014-07-31,125
2014,2014-08-01,112
2014,2014-08-02,108
2014,2014-08-03,116
2014,2014-08-04,116
2014,2014-08-05,110
2014,2014-08-06,117
2014,2014-08-07,108
2014,2014-08-08,110
2014,2014-08-09,109
2014,2014-08-10,112
2014,2014-08-11,109
2014,2014-08-12,110
2014,2014-08-13,107
2014,2014-08-14,104
2014,2014-08-15,115
2014,2014-08-16,115
2014,2014-08-17,118
2014,2014-08-18,116
2014,2014-08-19,115
2014,2014-08-20,113
2014,2014-08-21,110
2014,2014-08-22,109
2014,2014-08-23,105
2014,2014-08-24,99
2014,2014-08-25,107
2014,2014-08-26,101
2014,2014-08-27,97
2014,2014-08-28,105
2014,2014-08-29,106
2014,2014-08-30,108
2014,2014-08-31,106
2014,2014-09-01,109
2014,2014-09-02,103
2014,2014-09-03,103
2014,2014-09-04,106
2014,2014-09-05,100
2014,2014-09-06,102
2014,2014-09-07,104
2014,2014-09-08,103
2014,2014-09-09,114
2014,2014-09-10,102
2014,2014-09-11,109
2014,2014-09-12,104
2014,2014-09-13,103
2014,2014-09-14,98
2014,2014-09-15,103
2014,2014-09-16,106
2014,2014-09-17,105
